"";"rp.object@id";"score";"percentile"
"525";1664;0,0465293730322466;67
"526";1666;0,0373753853638911;54
"527";1670;0,0122865353037767;3
"528";1671;0,041195116540902;61
"529";1677;0,0130861156723226;6
"530";1678;0,0175620324758256;16
"531";1679;0,0382364890679067;56
"532";1681;0,0149110563765736;10
"533";1682;0,0309137120152446;43
"534";1684;0,0322087413083582;44
"535";1686;0,0136152162014231;7
"536";1688;0,0437988965766744;64
"537";1692;0,0284314071766179;39
"538";1694;0,0356393960800091;52
"539";1695;0,0356393960800091;52
"540";1699;0,0332035415272963;46
"541";1700;0,0228056011676701;27
"542";1701;0,087782743947953;90
"543";1703;0,025313456587403;33
